Trading_Day,P5_WorstCase,P25_LowerBand,P50_Median,P75_UpperBand,P95_BestCase
121,912755.8048503873,1041138.5467189804,1140276.992592304,1249881.6233530384,1425265.2697757005
122,910878.0096212153,1042923.4974773836,1142262.380331797,1250573.9150791455,1429622.0565937094
123,913102.4084469114,1042298.6001271296,1143213.1190176378,1252316.7401913835,1431001.8195610957
124,914005.5679903956,1044451.9758437701,1144282.9816412716,1253760.3604602423,1432086.1686948002
125,912903.2734522941,1043968.4052341087,1145616.9117091526,1255323.1458666665,1434489.5696363915
126,914666.7842822951,1045564.7415643489,1147406.6588400598,1258586.5420290767,1438468.901873095
127,914766.1436117218,1047072.1806058763,1148821.2490645153,1260801.4819207557,1440015.009736353
128,914907.611379762,1047320.2962390952,1149597.6063993955,1262200.4359206932,1443962.9989032464
129,914357.7211911024,1049060.954808051,1151355.138266615,1263132.3838456264,1443977.5466629441
130,915563.4694184186,1049202.99897217,1152632.7117630546,1265730.4975738784,1447134.9611649003
131,914014.1934803044,1050012.9094789084,1152936.4288826755,1268053.6891740179,1447765.4522790539
132,915390.6745321649,1050647.0536773864,1155027.8678858639,1269535.9306329996,1452462.1937178872
133,914020.7326837359,1050204.6190665711,1155296.9584891174,1271615.6162577188,1454648.1237935734
134,914216.0316974198,1051162.224426923,1155346.046024075,1273346.9421592485,1458096.5390247034
135,912760.2100683766,1051757.6330726903,1157607.6462464007,1274020.2862034985,1462152.7446621868
136,911716.6891557212,1052235.377222708,1158432.5649406675,1278810.7200564838,1463971.6646933847
137,910920.8098244308,1054236.9346627477,1158392.5668174783,1281212.8183882374,1466884.3949928533
138,910396.0346556865,1055608.2939483016,1160288.4104256616,1282120.2293189093,1470213.9189265075
139,911058.655722923,1055504.6913991873,1162888.015211443,1283756.2951707342,1473323.5000233294
140,912010.9250642139,1055567.1354939877,1163812.9640689793,1285789.0808117182,1478763.9464482595
141,911003.037527075,1056468.40738515,1165777.3241270268,1286842.3387830693,1479096.2166772003
142,912332.2734335711,1058794.5744989503,1166670.0212465231,1288800.9582310445,1482436.0396883106
143,913632.3286200967,1059581.0339552364,1167753.614703645,1290569.3271070602,1483940.2100823266
144,915396.0912788224,1060460.255018404,1169061.733193832,1292779.2089762844,1490151.074780378
145,913652.850940381,1060720.403368564,1170079.061947464,1294472.0011104364,1493057.34556248
146,914664.4175020402,1060715.6237953722,1172177.0734245945,1295555.1240065643,1492907.3121720417
147,913887.8241797958,1061018.0373682717,1173764.7994998936,1297816.830237036,1496718.44456389
148,915792.7970734136,1061696.5885545642,1175169.395330703,1299260.2538429045,1501974.441742339
149,914645.9242398788,1062362.0787885163,1176469.490408271,1302164.024065673,1507015.7435499877
150,914698.833724147,1063701.8949290828,1177728.3623405232,1302813.4728644085,1507594.871024443
151,916950.2086930391,1064110.421228346,1179424.1717453692,1305547.7520804612,1508244.056518602
152,917816.5930784004,1063397.8267687343,1180425.5851431428,1306613.9089828548,1510219.865684053
153,917762.8894009707,1064083.5207073342,1180950.5510367244,1307733.5623352705,1516145.27033757
154,917626.7824618994,1065116.6507976998,1181528.2594936655,1311369.6144152624,1519397.3185911605
155,919022.4626494803,1065329.4012093055,1183710.5287227037,1313485.6959204935,1524063.1952218171
156,919925.2177794421,1067368.2909611207,1185267.5171070723,1314646.1825983385,1522785.8951325717
157,920133.8976783897,1069136.0326977852,1187131.8835128844,1316457.4716965358,1529905.4079354336
158,920195.9677499994,1070406.290999665,1186726.5013543698,1317425.460398438,1533626.605559561
159,920863.290627561,1070197.4864144702,1188509.959520258,1319945.5818845308,1532913.443985286
160,921854.2554335479,1070214.9058947277,1190253.3390726862,1321933.110996989,1534729.4322780147
161,921495.8751787741,1071030.232120872,1191132.049445984,1323468.0970656069,1540149.4555037934
162,920715.5075459108,1072494.6185459786,1193225.0933820442,1325095.718194805,1541062.3754698501
163,922209.4625564441,1073183.3048355302,1193719.6905439415,1326984.5863992171,1545497.4630514062
164,920607.331286665,1074418.7832601112,1194614.828937021,1328844.830955509,1545119.2744574437
165,921271.3812177641,1074158.8808056707,1196398.7109891102,1331496.2830804954,1549734.2556289574
166,922157.7794498405,1076315.6149624018,1197692.7219705535,1333476.754751176,1550422.5172433339
167,922262.4624689086,1077949.147730397,1200006.8671325664,1335144.696320502,1555422.4181033054
168,921425.3904820082,1078605.6430390184,1201956.7512120514,1336284.1143817746,1558076.0191897303
169,919327.70089029,1078447.7363303434,1204131.578831646,1340071.921582584,1562314.1264924381
170,921120.3132402331,1079783.452314748,1205376.120345078,1343210.154394474,1565877.6107552291
171,920722.0713811596,1080610.2872829537,1206478.7848635004,1344158.0618125002,1566519.5236918458
172,922221.7084133364,1080925.8044942655,1207409.6390926423,1346012.2227237513,1568824.6329262909
173,922512.0102482436,1081118.0707704083,1209239.1374106628,1347093.851803878,1572914.2710441349
174,923574.6033287158,1081049.0212518654,1209369.418875786,1348621.242001478,1575519.1817785546
175,923367.4163743774,1082023.3288841138,1211863.425495264,1349775.164249654,1581775.2615802228
176,923043.078358961,1084281.6689814073,1213801.5554953623,1352158.084006038,1583373.641840703
177,924392.0288243085,1084747.058722423,1215315.862502224,1354097.3558349172,1584157.860020002
178,924492.1001267232,1085593.8564896951,1217366.1041013333,1355607.5837838063,1587558.8253202622
179,924119.2660341292,1087038.3952074773,1218908.2174611408,1357736.9425802666,1592466.4061851643
180,924197.9319427686,1087386.1218611535,1219255.9677583063,1359610.6562693417,1594505.6902443254
181,926576.0415733733,1087640.1705997812,1222001.2950714398,1362176.1682463277,1596668.4644058142
182,923614.8362051058,1088197.4429913992,1222877.0621545254,1362538.8257692577,1600035.3180513487
183,922168.1815037738,1090117.6245629503,1223586.6065300948,1365266.4980838168,1605671.8626983277
184,923352.5669439178,1091027.5392385637,1226017.2963013551,1365753.3065067106,1609580.630700667
185,924622.5567133778,1091494.155565883,1227008.0928068939,1367304.3969445697,1610768.2080064262
186,925033.7542755512,1092019.0757348938,1227247.7033202653,1370489.2828410661,1611683.14914496
187,924293.2985933615,1093987.6488534708,1228851.0087351669,1370937.698000282,1615159.8973484172
188,923334.0510704223,1095094.8200143767,1229846.463426732,1374150.1714876536,1623096.0340314491
189,924737.4742008536,1094759.61107406,1232159.4827827103,1374742.4288337359,1625317.139332535
190,926769.234280888,1095501.4171819868,1232980.048065127,1376422.5850099546,1632499.3814060725
191,927088.2789034293,1098866.3525192032,1234685.750012601,1378387.1992349336,1634172.305777827
192,927330.5401918199,1100136.4886049158,1236189.4245845205,1381066.4368948825,1635047.557030318
193,926518.8846353311,1099858.9534465263,1236934.8755132053,1383384.3884696322,1636924.527059269
194,927479.487051777,1100450.9965668428,1239039.382159059,1386229.3200140323,1639466.788603645
195,929033.0942788558,1102111.549866981,1239739.6552793048,1387707.4342844016,1641346.560326475
196,927886.1548974381,1104223.8974804399,1240677.2799252914,1390387.3709946373,1643658.9422883242
197,928580.6995742838,1103580.2105299039,1241943.2292307129,1393100.6216342435,1647918.2714014782
