Expected_Return,Risk_Volatility,Sharpe_Ratio,Weight_Tech_stock_data,Weight_Healthcare_stock_data,Weight_Energy_stock_data,Weight_Crypto_stock_data,Portfolio_Type
0.1782732248048966,0.19854390523438872,0.7971698986078116,0.3378933258043673,0.0878596902901271,0.3790600630043775,0.19518692090112813,Simulated Portfolio
0.1283836083599234,0.2178441004328459,0.49752831563751465,0.03073149525623797,0.06513624804338383,0.4450329637197472,0.4590992929806309,Simulated Portfolio
0.333361361219633,0.23195179447238648,1.3509762316451412,0.004155503726611147,0.3920431893770302,0.17349958643716085,0.43030172045919785,Simulated Portfolio
0.3774194174340456,0.2360489110770176,1.5141752436105391,0.12314274331105783,0.4583445443229696,0.26974376231914127,0.14876895004683122,Simulated Portfolio
0.2720729906605148,0.1979608539734398,1.273347662433984,0.42468805385802,0.2015618620720899,0.10589934976437824,0.26785073430551176,Simulated Portfolio
0.3355199828450002,0.22868285413920786,1.379727326006397,0.024835175532666884,0.38390088841928655,0.1060722970403364,0.48519163900771006,Simulated Portfolio
0.2617354844216237,0.19407658997103983,1.2455674559084924,0.29775220405092107,0.21695923131017888,0.1911623854598094,0.2941261791790907,Simulated Portfolio
0.22682237853571716,0.19740917192304286,1.0476837348588033,0.20981640513807653,0.19011359393388777,0.3375409022653653,0.2625290986626704,Simulated Portfolio
0.20349296402222056,0.2020575441412504,0.9081223114042598,0.11381885162282815,0.1639585714630473,0.31122322314618983,0.4109993537679347,Simulated Portfolio
0.3367358413047441,0.23319177508069322,1.3582633486757474,0.14584540548973263,0.40432241446525286,0.4399220639115189,0.009910116133495541,Simulated Portfolio
0.25158476771139593,0.19694628745584783,1.1758778025369658,0.18809164348218538,0.2208498933434582,0.20428570014787242,0.386772763026484,Simulated Portfolio
0.3230520653833643,0.2153858429104648,1.4070194274994297,0.11711312678884149,0.3562692322564653,0.19464509528867702,0.33197254566601625,Simulated Portfolio
0.10311753389246017,0.2240261706090363,0.37101707209696666,0.013617486546038941,0.027950992233904293,0.4736406959266345,0.4847908252934223,Simulated Portfolio
0.23456890066205294,0.1976662427174544,1.0855111004905342,0.23791039783226112,0.15912364814864094,0.011549502507349166,0.5914164515117488,Simulated Portfolio
0.3422636076608548,0.20676169106023834,1.558623389121759,0.35533094896372586,0.3302812285551546,0.06145886523085458,0.2529289572502649,Simulated Portfolio
0.1641918145445747,0.20664477794801248,0.6977762321235641,0.09970809215150443,0.11030844499396358,0.40929085146578165,0.38069261138875027,Simulated Portfolio
0.2942549212884491,0.2118094511967728,1.2948190920605516,0.09446143050450236,0.31339767648537004,0.21846167509890072,0.373679217911227,Simulated Portfolio
