Date,Close,High,Low,Open,Volume,Returns
13-04-2020,157.2190552,157.2760618,154.1698627,156.1171744,41905300,0.002240558
14-04-2020,164.9987488,165.046247,159.5842849,160.5341913,52874300,0.049483147
15-04-2020,163.2699738,164.8753185,160.7622206,162.6240296,40940800,-0.010477504
16-04-2020,168.1714172,168.3994,164.2388054,165.5686831,50479600,0.030020483
21-04-2020,159.4133148,164.9702591,157.7889683,164.8087767,56203700,-0.041357226
22-04-2020,164.8278046,165.2837557,162.2630595,162.8044988,34620200,0.033965104
24-04-2020,165.8061981,165.815692,162.1585603,163.4409255,34277600,0.018259424
27-04-2020,165.3312378,168.0384628,164.6188079,167.7439941,33194400,-0.002864551
28-04-2020,161.3036499,166.8701036,160.9046908,166.7941093,34392700,-0.024360719
29-04-2020,168.5419159,168.7793925,163.269946,164.5428173,51286600,0.044873541
30-04-2020,170.2327576,171.3631342,167.4020256,170.9831774,53875900,0.010032173
01-05-2020,165.8251953,169.6913075,165.2932355,166.9935763,39370500,-0.025891387
06-05-2020,173.3959503,174.9727988,172.5315463,172.9590014,32139300,0.020689031
07-05-2020,174.4028778,175.3052863,173.4339689,174.9443171,28316000,0.005807099
08-05-2020,175.4287567,175.7327338,174.1748874,175.7137316,30877800,0.005882236
11-05-2020,177.3855743,178.116992,173.690438,173.9753984,30892700,0.011154486
12-05-2020,173.3674469,177.6705226,173.1679746,177.4425543,32038200,-0.02265194
15-05-2020,173.9848938,177.6895237,168.1334657,170.090271,46610400,0.014568072
18-05-2020,175.6472473,176.8726206,174.7448389,176.4451654,35264500,0.009554585
19-05-2020,174.4313965,177.2526209,174.2984101,175.7612603,26799100,-0.006922117
20-05-2020,176.8508453,177.0318326,175.2124544,176.0411702,31261300,0.013870489
21-05-2020,174.7266388,177.8129131,174.5932821,176.6031677,29119500,-0.012011289
22-05-2020,174.8028259,175.707762,173.8788493,174.4980168,20826900,0.000436036
28-05-2020,172.792984,175.4125029,171.8213911,172.1643105,33810200,-0.002255202
29-05-2020,174.555191,175.5267984,171.8499463,174.0598598,42130400,0.010198371
01-06-2020,174.1551208,174.317053,172.850129,173.8788726,22622400,-0.002291941
02-06-2020,176.1364136,176.2221398,172.7453304,175.5077257,30794600,0.011376598
03-06-2020,176.5650482,177.1175301,174.8695067,176.0506765,27311000,0.002433538
04-06-2020,174.2408295,177.0222799,173.6502518,175.555356,28761800,-0.013163527
05-06-2020,178.317749,178.8226005,173.3740013,173.9550587,39893600,0.023398187
08-06-2020,179.4227448,179.603732,175.6887416,177.11757,33211600,0.006196779
11-06-2020,177.4318695,186.4715789,177.241362,183.966377,52854700,-0.05369839
12-06-2020,178.8321381,182.6232914,176.3935925,181.4992723,43373600,0.007891866
15-06-2020,179.9752197,181.7660226,175.2791297,175.8220914,32770200,0.006391925
16-06-2020,184.3855591,186.300184,182.3756731,183.7378159,42556700,0.024505259
17-06-2020,185.0237427,187.005053,184.4998361,185.7762525,25687800,0.003461137
18-06-2020,187.0050659,187.1669981,184.7951377,184.7951377,23061600,0.010708481
23-06-2020,192.3298187,194.2730188,191.8725832,192.5012711,30917400,0.006681003
24-06-2020,188.4529266,193.6062376,187.233661,192.0345323,36740600,-0.02015752
25-06-2020,190.8342896,191.0914827,186.1953653,188.4148135,27803900,0.012636381
26-06-2020,187.0145721,190.4056556,185.6333744,190.2532438,54675800,-0.020015886
29-06-2020,189.0244446,189.1101708,184.3664653,186.4906525,26701600,0.010747143
30-06-2020,193.8539124,194.7016833,188.3576961,188.4910528,34310300,0.025549435
01-07-2020,194.987442,196.5591619,192.1964709,193.5014628,32061200,0.00584734
02-07-2020,196.4734344,198.1499358,195.2732238,195.9209524,29315800,0.007620965
08-07-2020,202.7316742,203.1412646,198.7881089,200.1026355,33600000,0.010109056
09-07-2020,204.151001,206.1132562,201.4362213,206.0656257,33121700,0.007001011
10-07-2020,203.5318451,203.922395,201.0647382,203.4842146,26177600,-0.003032833
13-07-2020,197.2449951,205.5607719,196.7020334,204.303396,38135600,-0.030888778
14-07-2020,198.4642334,198.9405094,192.4440972,196.3495666,37591800,0.00618134
15-07-2020,198.1689758,201.3028811,195.3017986,199.6168594,32179400,-0.001487712
16-07-2020,194.2444305,195.9399722,192.710821,195.6542036,29940700,-0.019804035
17-07-2020,193.2537842,195.3112858,191.8344762,194.7683386,31635300,-0.005099999
20-07-2020,201.5600433,202.2268269,193.3776092,195.2731933,36884800,0.042981094
22-07-2020,201.7029114,202.2268179,198.5023357,199.2739006,49605700,0.014371307
23-07-2020,192.9298859,200.9122767,192.5583911,197.3592616,67457000,-0.043494789
24-07-2020,191.748764,193.2347432,188.138583,190.9105134,39827000,-0.006122026
27-07-2020,194.1777496,194.2920512,191.3296136,191.910671,30160900,0.012667542
28-07-2020,192.4346008,194.9874338,192.1678874,193.9491554,23251400,-0.008977078
29-07-2020,194.3778229,194.9398253,192.4250877,192.8918436,19632600,0.010098091
30-07-2020,194.2254028,194.7588443,190.1008643,191.4630071,25079600,-0.000784143
31-07-2020,195.2826996,195.3684403,189.567387,194.7016422,51044000,0.005443658
04-08-2020,203.1698456,204.5796333,200.3312442,204.0080961,49280100,-0.015008775
05-08-2020,202.8364716,204.7987268,201.5314797,204.7034658,28806400,-0.001640864
07-08-2020,202.3982697,205.4654886,200.921811,204.6558281,27820400,-0.017887655
10-08-2020,198.3690186,201.8267881,196.559175,201.6267457,36716500,-0.019907537
12-08-2020,199.264389,200.3026674,195.0350551,195.5494269,28013100,0.028566912
13-08-2020,198.7976074,201.321879,198.2737009,199.5025012,22588900,-0.002342524
17-08-2020,200.3026886,201.1695146,199.0072169,199.65496,20184800,0.006606223
18-08-2020,201.455307,202.2840229,199.2834888,200.5408503,21336200,0.005754383
20-08-2020,204.8927612,205.2937985,199.4787358,200.0802845,26981500,0.02327153
21-08-2020,203.4031525,206.4873291,203.2408289,204.2052269,36249300,-0.007270187
24-08-2020,204.042923,205.790309,202.8397966,205.0932545,25460100,0.003145332
25-08-2020,206.6974182,206.8310973,203.4795622,203.4795622,23043700,0.013009494
27-08-2020,216.3510132,220.7146923,209.4951478,212.8275965,57602200,0.024553611
28-08-2020,218.5758057,220.2277003,216.3509923,217.8787512,26292900,0.010283254
31-08-2020,215.3483887,218.3752765,214.1834647,216.7520263,28774200,-0.014765664
01-09-2020,217.0098572,217.1817241,214.2980584,215.3293034,25725500,0.007715259
03-09-2020,207.4899445,218.957745,205.2555878,218.9195572,58400300,-0.061946828
09-09-2020,201.7512512,205.1409885,197.3684715,198.2278495,45679000,0.042583588
14-09-2020,196.1367035,199.7555963,194.8189994,195.0195253,30375800,0.000194607
15-09-2020,199.3545837,200.3094385,197.5880965,199.0108354,21823900,0.016406314
16-09-2020,195.7929993,201.1401779,195.4015053,201.1115335,26328100,-0.017865576
18-09-2020,191.3433533,194.4561747,187.390255,193.6445568,55225300,-0.022726277
21-09-2020,193.3962708,193.5586089,187.5143767,188.2878067,39839700,0.010728972
22-09-2020,198.0559387,198.7052474,192.9570187,195.8024813,33517100,0.024093887
23-09-2020,191.5343475,198.7053174,190.9996311,198.5143348,30803800,-0.032928026
24-09-2020,194.0169525,196.2895116,190.2070766,190.8277409,31202500,0.01296167
25-09-2020,198.4379272,199.6028367,193.3962806,194.3606933,29437300,0.022786538
28-09-2020,199.9848022,202.9735026,198.6670979,201.3597956,32004900,0.007795259
29-09-2020,197.9031982,200.5863524,197.4735165,199.8988558,24221900,-0.010408811
30-09-2020,200.8346405,202.4101453,197.2157321,198.3520118,33829100,0.014812506
01-10-2020,202.8684235,204.3293499,201.7798898,203.8519226,27158400,0.010126654
02-10-2020,196.8815308,201.4648371,196.2608663,198.6098158,33154800,-0.02951121
05-10-2020,200.8823547,200.9109992,197.6358397,197.8650101,21331600,0.020320971
06-10-2020,196.614151,200.6913704,195.5733628,199.3927819,28554300,-0.02124728
07-10-2020,200.3571625,200.6245206,197.3875638,197.7122109,25681100,0.019037345
08-10-2020,201.073349,201.6558111,198.9153821,201.0065022,19925800,0.003574549
09-10-2020,206.0672455,206.1149911,201.694008,201.694008,26458000,0.024836193
12-10-2020,211.4048309,213.75378,207.0220512,208.9126595,40461400,0.025902154
13-10-2020,212.7989502,215.0428649,210.4786454,212.6652711,28950800,0.006594548
16-10-2020,209.7434082,212.2546664,209.4187611,210.2112777,26057900,-0.014358821
19-10-2020,204.5489807,212.2642087,204.0715533,210.4690771,27625800,-0.024765629
20-10-2020,204.9595947,207.5568012,203.4700234,206.0576866,22753500,0.002007412
22-10-2020,205.1887207,206.3058989,202.142732,204.2720538,22351500,0.000418848
23-10-2020,206.4682159,206.5159616,203.5368198,205.3223933,18879600,0.0062357
26-10-2020,200.595871,206.573256,198.7052628,204.1956772,37111600,-0.028441884
27-10-2020,203.6227722,204.9786642,200.8345981,202.0377099,36700300,0.015089549
28-10-2020,193.5299683,199.4118775,192.9761653,198.2946991,51195600,-0.049566185
29-10-2020,195.47789,197.9987063,194.1888301,194.8572402,31432600,0.01006522
30-10-2020,193.3294678,195.0672961,190.6081256,194.3129671,36953700,-0.010990615
02-11-2020,193.195755,196.0125735,191.0855197,195.0672621,30842200,-0.000691632
03-11-2020,197.110672,198.724379,193.9501049,194.6853472,27512000,0.020263991
04-11-2020,206.6210632,208.4639409,202.8302879,204.3580617,42311800,0.048248992
05-11-2020,213.2095184,214.0020497,211.1661298,212.01595,36080100,0.031886658
06-11-2020,213.6200714,214.2311778,208.1869464,212.2259773,25231900,0.001925585
09-11-2020,208.5307465,217.8214799,208.0437757,214.3076211,44395000,-0.023824189
10-11-2020,201.4839478,206.7261069,200.2521912,204.8163969,44045100,-0.033792612
11-11-2020,206.7737885,208.1965126,202.6201647,202.8015894,29440800,0.026254403
12-11-2020,205.713913,209.2182282,204.7781594,207.40401,21593900,-0.005125773
20-11-2020,201.4178467,204.1941694,201.0444789,203.1506563,22843100,-0.025722465
23-11-2020,201.1498413,203.236868,199.2830022,201.9540159,25683500,-0.001330594
24-11-2020,204.7398376,205.1132053,199.9530651,200.6519298,33979700,0.017847373
25-11-2020,204.7494354,206.1088773,203.3995765,205.9365605,21012900,4.69E-05
27-11-2020,206.0514526,207.0471097,204.9121982,205.6876678,14512200,0.006359076
30-11-2020,204.9409027,205.6014651,201.8486369,204.9696222,33064800,-0.005389673
01-12-2020,206.989624,208.0522881,204.2515896,205.3621097,30904500,0.009996644
02-12-2020,206.1854858,206.2812272,203.7250918,205.7163914,23724500,-0.00388492
03-12-2020,205.1036835,207.152422,204.5388331,205.4579,25120900,-0.005246744
04-12-2020,205.2185669,206.1950728,204.0888807,205.0845378,24666000,0.000560124
10-12-2020,201.5423126,203.9931383,201.3891324,202.739006,26733300,-0.006043308
11-12-2020,204.1654663,204.2229199,200.19245,201.0923658,30979400,0.013015399
14-12-2020,205.0653839,206.9896763,203.8016832,204.0123025,28798400,0.004407786
15-12-2020,204.9983673,206.2333484,203.1889675,205.9940098,27000600,-0.000326806
16-12-2020,209.9287109,210.723317,205.5631764,205.5918959,35023300,0.024050648
17-12-2020,210.0627594,211.4700719,208.6267274,210.4935661,32515800,0.000638543
18-12-2020,209.2681427,210.3212386,206.8077489,209.2681427,63354900,-0.003782759
21-12-2020,213.0975494,214.4474229,208.013999,208.2724889,37181900,0.018299043
22-12-2020,214.3899994,216.0079311,212.3891317,213.1933061,22612200,0.006065062
23-12-2020,211.5945282,214.0262026,211.383909,213.5953959,18699600,-0.013039187
24-12-2020,213.2507477,214.0740733,211.7668451,211.9774642,10550600,0.007827327
28-12-2020,215.3665009,216.3908627,213.5092306,214.8782407,17933500,0.009921434
29-12-2020,214.5910492,217.4918328,214.0453646,216.6589388,17403200,-0.003600614
30-12-2020,212.2263336,216.0078955,212.0252974,215.6249449,20272300,-0.011019638
31-12-2020,212.9348145,213.4900819,210.3116575,212.245518,20942100,0.003338327
05-01-2021,208.607605,209.2011749,206.5014273,207.9948985,23823000,0.0009647
06-01-2021,203.1985168,207.2577057,202.9017393,203.1219267,35930700,-0.025929487
07-01-2021,208.980957,209.9861824,204.5962852,204.9121994,27694500,0.028457098
11-01-2021,208.2150574,209.5744992,207.4874585,209.1532608,23031300,-0.009698589
12-01-2021,205.7642365,207.841709,204.2229094,207.2672903,23249300,-0.011770623
13-01-2021,207.11409,207.5161771,204.8068619,204.8930349,20087100,0.006560195
15-01-2021,203.5814667,205.362147,202.9879114,204.4143752,31746500,-0.001736983
19-01-2021,207.2098236,207.7267886,203.5623051,204.6345375,30480900,0.017822629
20-01-2021,214.772934,216.1610953,208.0235809,208.4160998,37777300,0.036499767
21-01-2021,215.3760834,216.6493669,212.934826,215.1175935,30709400,0.002808312
22-01-2021,216.31427,220.2585809,216.1706727,217.3960854,30172700,0.004356039
25-01-2021,219.7416229,219.9809616,214.6580718,219.349104,33152100,0.015844322
28-01-2021,228.7407074,232.2924991,225.0644696,225.562298,49111200,0.025890706
01-02-2021,229.4300385,232.1585051,222.5179366,225.0357841,33314200,0.033152354
03-02-2021,232.6371765,234.6380442,229.0566649,229.3534571,27158100,0.014571433
04-02-2021,231.6894073,232.8669642,230.1193462,232.3116967,25296100,-0.004074023
05-02-2021,231.8713074,232.9052522,230.1672172,231.9000268,18054800,0.000785103
09-02-2021,233.3743134,234.322085,231.0862367,231.555331,23565000,0.005361386
10-02-2021,232.4648895,235.4326805,230.6171872,234.5519159,22186700,-0.003896846
12-02-2021,234.5423126,234.8390902,232.3786818,233.5275045,16561100,0.002044969
17-02-2021,234.3244629,234.430015,231.1963037,231.5609411,21653500,-0.000928829
18-02-2021,233.9309845,234.0653222,231.1194824,232.0214706,16925600,-0.001679203
19-02-2021,231.2250824,233.9982091,230.4670221,233.892657,25262600,-0.011567096
22-02-2021,225.0263214,228.3080136,223.00165,227.8186434,36446900,-0.026808342
23-02-2021,223.8364868,225.3333975,219.4800777,221.0153791,30228700,-0.005287535
26-02-2021,222.9824677,225.8515415,220.2573072,222.1668361,37819200,0.014804173
01-03-2021,227.3580475,227.8666129,223.7213085,226.3600973,25324000,0.019622977
04-03-2021,217.5609589,223.0880319,215.1908453,217.5705638,44727800,-0.003647311
05-03-2021,222.2339783,223.8364408,217.3018432,220.2380928,41872800,0.021479127
08-03-2021,218.1942444,223.9324064,217.9447642,222.0132873,35267400,-0.018177841
09-03-2021,224.3258362,225.8611374,222.3011649,223.4622384,33080500,0.028101529
10-03-2021,223.0208282,227.4156127,222.6561909,227.4156127,29746800,-0.005817466
11-03-2021,227.5404205,229.4979161,224.8344549,225.4581775,29907600,0.020265337
12-03-2021,226.2161713,226.2833475,223.798077,224.5465323,22653700,-0.005819842
15-03-2021,225.314209,225.6788464,222.4355299,225.4581517,26034900,-0.00398717
16-03-2021,228.0969391,230.3518956,226.3985143,226.7247611,28092200,0.012350442
18-03-2021,221.3896332,224.7193068,221.0154055,223.1552197,34833000,-0.026661926
19-03-2021,221.0345917,223.0688536,220.0750319,221.6774949,46430700,-0.001603695
22-03-2021,226.4464569,227.3196449,220.8330278,220.9577753,30127000,0.024484246
23-03-2021,227.972168,231.3018409,227.4827979,227.8858111,31638400,0.006737624
24-03-2021,225.937912,228.375187,225.8035742,228.2312589,25620100,-0.008923265
25-03-2021,222.9440765,227.3580566,222.2052262,225.7843794,34061900,-0.0132507
26-03-2021,226.9166412,227.1373505,222.1860196,222.1860196,25479900,0.01781866
29-03-2021,225.7267914,227.2237019,222.5026707,227.022188,25227500,-0.005243555
01-04-2021,232.5492554,233.0194302,228.4231465,228.8261598,30338000,0.027908425
05-04-2021,238.9974976,239.8515049,232.8850934,232.9426647,36910600,0.027728501
06-04-2021,237.8364105,239.3141257,236.8960463,237.5965207,22931900,-0.004858156
07-04-2021,239.7939301,240.7822752,237.1935318,237.7884541,22719800,0.008230529
08-04-2021,243.0084534,243.8624608,241.8090039,242.5478689,23625200,0.013405357
09-04-2021,245.5033569,245.6376947,242.2312548,242.6438585,24326800,0.010266736
12-04-2021,245.5608978,247.2497321,244.3230578,244.4094292,27148700,0.000234379
13-04-2021,248.0365295,248.7082329,246.4436572,246.8562901,23837500,0.010081539
14-04-2021,245.2537994,248.3627627,244.8411959,247.0673809,23070900,-0.011219033
15-04-2021,249.0056763,249.4182798,247.3072666,247.4991609,25627500,0.015297936
16-04-2021,250.1955566,250.4450515,247.1825548,248.9769265,24878600,0.004778527
